1	12	1
1	19	1
1	21	1
1	38	1
1	43	1
2	33	1
2	63	1
3	5	3
3	20	3
3	22	3
4	16	1
4	20	1
4	40	1
4	43	1
4	64	1
5	8	1
5	11	4
5	13	1
5	20	7
5	22	3
5	25	1
5	34	2
5	39	2
5	40	1
5	45	1
5	48	2
5	53	1
5	58	3
5	59	2
5	61	1
5	63	4
6	8	1
6	58	1
7	16	3
7	29	1
8	11	1
8	20	1
8	32	1
8	39	1
8	53	1
8	58	3
8	59	1
8	63	2
8	64	1
9	30	1
9	46	1
10	13	1
10	18	1
10	42	1
10	47	1
11	13	9
11	20	14
11	25	3
11	32	3
11	33	4
11	34	4
11	35	3
11	39	3
11	40	3
11	48	4
11	53	4
11	57	3
11	58	1
11	59	9
11	61	9
11	63	12
11	64	1
11	65	2
11	67	1
12	19	2
12	20	1
12	21	1
12	24	1
12	38	2
12	43	1
13	15	2
13	18	1
13	20	14
13	32	2
13	39	2
13	40	2
13	42	1
13	49	2
13	53	1
13	57	3
13	59	2
13	61	10
13	63	2
13	64	1
13	67	1
14	39	1
15	20	2
15	49	2
16	29	2
16	38	1
16	43	5
16	52	1
17	20	2
17	24	3
17	38	4
17	44	1
17	45	1
18	37	2
18	42	4
18	47	15
19	20	1
19	21	1
19	24	1
19	38	3
19	43	1
20	22	6
20	24	2
20	25	4
20	27	1
20	32	5
20	33	3
20	34	2
20	35	2
20	38	3
20	39	4
20	40	8
20	44	1
20	47	1
20	48	6
20	49	2
20	50	3
20	53	3
20	55	3
20	57	3
20	58	1
20	59	5
20	60	1
20	61	10
20	63	5
20	64	3
20	67	1
21	38	1
21	43	1
23	28	2
23	54	2
24	38	6
24	45	1
25	32	3
25	33	3
25	35	2
25	39	2
25	40	2
25	48	4
25	55	1
25	63	2
25	65	2
26	39	1
27	50	1
28	54	2
30	46	3
31	43	2
32	33	1
32	39	10
32	40	4
32	41	3
32	48	7
32	53	1
32	55	4
32	58	1
32	59	1
32	61	2
32	63	3
32	64	1
32	65	2
33	34	3
33	35	5
33	40	1
33	48	1
33	53	2
33	55	1
33	59	5
33	63	7
34	35	1
34	39	1
34	48	1
34	53	7
34	59	7
34	61	1
34	63	9
35	53	1
35	59	4
35	63	4
37	42	2
37	47	2
38	43	2
38	44	1
38	45	2
38	59	1
38	62	1
39	40	3
39	41	5
39	48	6
39	55	2
39	56	3
39	58	1
39	61	2
39	63	4
39	65	2
39	66	4
40	48	5
40	55	3
40	61	2
40	64	1
40	67	1
41	56	1
41	66	2
42	47	4
42	51	1
45	58	1
45	59	1
45	62	1
47	51	1
48	53	1
48	55	4
48	59	1
48	61	1
48	63	3
48	65	2
53	58	1
53	59	8
53	61	1
53	63	9
53	64	1
56	66	3
57	61	3
58	59	1
58	63	2
58	64	1
59	60	1
59	61	2
59	62	1
59	63	14
59	64	1
60	63	1
61	63	2
61	64	1
61	67	1
63	64	1
63	65	2
